id,cartitle,amount,datecreated
1,F-Series,$4.54,10/31/2019
2,C70,$1.57,01/04/2020
3,Phantom,$3.90,02/02/2020
4,Catera,$0.83,6/26/2020
5,V12 Vantage,$9.53,06/11/2020
6,Charger,$8.67,12/07/2019
7,Premier,$6.27,2/21/2020
8,A3,$3.84,01/07/2020
9,Odyssey,$8.24,01/05/2020
10,Mazda6,$9.02,11/29/2019
11,Safari,$1.80,5/13/2020
12,Ram 1500,$0.32,9/24/2019
13,626,$3.30,02/12/2020
14,Passat,$5.66,11/29/2019
15,Ram 2500,$5.45,11/09/2019
16,i-370,$2.29,02/12/2020
17,Land Cruiser,$6.77,2/17/2020
18,Paseo,$6.75,05/09/2020
19,Defender,$8.32,4/29/2020
20,Ram 1500 Club,$6.83,12/02/2019
21,Karif,$8.76,10/25/2019
22,F350,$2.58,11/09/2019
23,Outback,$3.65,06/06/2020
24,LeMans,$0.22,12/13/2019
25,XK Series,$5.97,12/05/2019
26,M-Class,$7.05,6/17/2020
27,Corvette,$9.12,2/29/2020
28,Quest,$0.53,05/10/2020
29,G37,$1.28,10/08/2019
30,Cabriolet,$9.12,3/13/2020
31,Golf III,$2.86,10/11/2019
32,Outlook,$9.37,7/26/2020
33,H2 SUT,$2.71,5/21/2020
34,Sentra,$3.29,4/13/2020
35,Grand Cherokee,$2.96,11/05/2019
36,Celica,$7.31,10/16/2019
37,911,$6.51,12/21/2019
38,S4,$8.14,1/31/2020
39,Cooper,$4.24,04/12/2020
40,Sienna,$0.78,07/01/2020
41,Pathfinder,$1.37,3/27/2020
42,Bronco,$2.89,06/09/2020
43,Lancer,$9.08,04/09/2020
44,Ram 2500 Club,$1.57,12/02/2019
45,Mustang,$2.63,09/12/2020
46,F150,$7.07,10/24/2019
47,Biturbo,$1.99,11/14/2019
48,3000GT,$0.38,7/30/2020
49,Camry,$7.99,06/02/2020
50,Exige,$6.67,6/23/2020
51,90,$0.32,9/21/2019
52,Magnum,$7.00,12/20/2019
53,Tucson,$6.60,04/05/2020
54,Eclipse,$2.39,10/08/2019
55,Ranger,$0.71,1/14/2020
56,Roadster,$3.53,3/26/2020
57,S-Type,$4.49,12/14/2019
58,Sebring,$8.70,3/15/2020
59,200,$8.42,2/25/2020
60,S10,$8.49,4/23/2020
61,Escort,$4.04,11/18/2019
62,Envoy XL,$1.81,11/10/2019
63,Regal,$1.06,5/30/2020
64,Suburban 2500,$2.98,8/13/2020
65,Avalon,$5.23,6/23/2020
66,Reatta,$5.70,12/31/2019
67,Topaz,$9.77,11/30/2019
68,Fillmore,$8.92,3/16/2020
69,Aerostar,$6.92,09/10/2020
70,Wrangler,$0.67,01/12/2020
71,Millenia,$7.00,8/14/2020
72,Freelander,$6.07,10/25/2019
73,Ram 3500,$8.76,10/16/2019
74,Outlook,$8.85,2/24/2020
75,M3,$4.86,09/11/2020
76,Cooper,$5.77,1/13/2020
77,Suburban 1500,$6.04,9/14/2020
78,E250,$8.95,4/13/2020
79,Ramcharger,$4.47,2/14/2020
80,NSX,$2.50,01/04/2020
81,Boxster,$6.65,7/21/2020
82,Neon,$7.67,03/11/2020
83,Eldorado,$7.33,9/14/2020
84,Esprit,$4.77,03/06/2020
85,626,$8.04,03/07/2020
86,Diamante,$7.15,5/29/2020
87,Eclipse,$9.84,02/05/2020
88,L-Series,$8.89,6/15/2020
89,Tempo,$2.33,6/13/2020
90,E-Series,$2.48,3/27/2020
91,Fox,$1.44,12/12/2019
92,D150,$8.14,9/15/2020
93,Topaz,$4.91,10/27/2019
94,Express 1500,$3.21,03/11/2020
95,Galant,$6.05,12/22/2019
96,del Sol,$6.53,4/15/2020
97,Vibe,$6.03,11/19/2019
98,Grand Vitara,$9.90,12/26/2019
99,Trooper,$8.08,02/04/2020
100,F-Series,$7.16,12/20/2019
